order_id,customer_email,order_date,merchant,amount,status,notes
1001,ivy.foster@gmail.com,01-11-2025 09:15,ShopA,49.99,completed,Receipt: Order #1001; card ****1234
1002,gabby.parker@gmail.com,02-11-2025 14:05,ShopB,19.5,completed,Order confirmation email
1003,ryan.foster@gmail.com,02-11-2025 14:07,ShopA,15,refunded,Refund processed on 2025-11-03
1004,quinn.evans@gmail.com,03-11-2025 11:20,ShopC,25,pending,missing amount in email
1005,olivia.davis@gmail.com,04-11-2025 08:45,ShopB,120,completed,Large purchase; promo applied
1006,finn.king@gmail.com,04-11-2025 08:46,ShopB,120,completed,Duplicate order possible
1007,jack.owen@gmail.com,05-11-2025 19:30,ShopD,9.99,completed,small order
1008,mia.vance@gmail.com,06-11-2025 00:00,ShopA,11,completed,zero-amount test
1009,jack.king@gmail.com,06-11-2025 23:59,ShopC,250,completed,high value order
1010,leo.scott@gmail.com,07-11-2025 12:00,ShopE,35.25,completed,normal
1011,alex.nelson@gmail.com,01-11-2025 09:15,ShopA,112.7666667,completed,Receipt: Order #1001; card ****1235
1012,mia.owen@gmail.com,02-11-2025 14:05,ShopB,121.3473333,completed,Order confirmation email
1013,hugo.miller@gmail.com,02-11-2025 14:07,ShopA,129.928,refunded,Refund processed on 2025-11-04
1014,olivia.davis@gmail.com,03-11-2025 11:20,ShopC,138.5086667,pending,missing amount in email
1015,chloe.green@gmail.com,04-11-2025 08:45,ShopB,147.0893333,completed,Large purchase; promo applied
1016,jack.davis@gmail.com,04-11-2025 08:46,ShopB,155.67,completed,Duplicate order possible
1017,dylan.taylor@gmail.com,05-11-2025 19:30,ShopD,164.2506667,completed,small order
1018,chloe.king@gmail.com,06-11-2025 00:00,ShopA,172.8313333,completed,zero-amount test
1019,olivia.adams@gmail.com,06-11-2025 23:59,ShopC,181.412,completed,high value order
1020,olivia.parker@gmail.com,07-11-2025 12:00,ShopE,189.9926667,completed,low
1021,sara.baker@gmail.com,01-11-2025 09:15,ShopA,198.5733333,completed,Receipt: Order #1001; card ****1236
1022,alex.parker@gmail.com,02-11-2025 14:05,ShopB,207.154,completed,Order confirmation email
1023,gabby.lopez@gmail.com,02-11-2025 14:07,ShopA,215.7346667,refunded,Refund processed on 2025-11-05
1024,olivia.evans@gmail.com,03-11-2025 11:20,ShopC,224.3153333,pending,missing amount in email
1025,paul.clark@gmail.com,04-11-2025 08:45,ShopB,232.896,completed,Large purchase; promo applied
1026,karen.nelson@gmail.com,04-11-2025 08:46,ShopB,241.4766667,completed,Duplicate order possible
1027,olivia.davis@gmail.com,05-11-2025 19:30,ShopD,250.0573333,completed,small order
1028,dylan.lopez@gmail.com,06-11-2025 00:00,ShopA,258.638,completed,zero-amount test
1029,hugo.clark@gmail.com,06-11-2025 23:59,ShopC,267.2186667,completed,high value order
1030,ella.foster@gmail.com,07-11-2025 12:00,ShopE,275.7993333,completed,high
1031,sara.green@gmail.com,01-11-2025 09:15,ShopA,284.38,completed,Receipt: Order #1001; card ****1237
1032,finn.nelson@gmail.com,02-11-2025 14:05,ShopB,292.9606667,completed,Order confirmation email
1033,noah.parker@gmail.com,02-11-2025 14:07,ShopA,301.5413333,refunded,Refund processed on 2025-11-06
1034,alex.foster@gmail.com,03-11-2025 11:20,ShopC,310.122,pending,missing amount in email
1035,gabby.miller@gmail.com,04-11-2025 08:45,ShopB,318.7026667,completed,Large purchase; promo applied
